rank_emul	user	Psi_emul	out_deg	in_deg	R_tweet	R_rtweet
41	53016173	0.0013608109794732773	2218	0	0.00012402648404737443	0.0
42	2933756872	0.001344031862099224	2562	47	2.4314912029056933e-05	3.9639436417118024e-05
43	920825071	0.001314841677489006	3106	17	1.7572121298310054e-05	5.108174796020364e-06
44	520395834	0.0013024054444360448	1851	3	2.860577885771404e-06	6.129809755224437e-07
45	818126556338028544	0.0012724061392710296	2172	0	3.269231869453033e-06	0.0
46	892648822714884096	0.0012562829756787995	295	0	1.2259619510448874e-06	0.0
47	337959722	0.001245833515178663	2594	8	1.1442311543085615e-05	1.838942926567331e-06
48	433605891	0.0012157003200830858	229	0	2.0432699184081456e-07	0.0
49	617151582	0.0012031585473163927	692	5	6.129809755224437e-06	1.0216349592040729e-06
50	485208838	0.0011695768927994915	1384	5	1.0216349592040727e-05	1.0216349592040729e-06
51	1220760792	0.0011157907381215795	1891	7	1.4098562437016205e-05	1.430288942885702e-06
52	136329115	0.0011137633868282665	1317	1	5.006011300099957e-05	8.173079673632582e-07
53	866232763783028736	0.0011094049692051736	458	0	2.0432699184081456e-07	0.0
54	3232899023	0.001103181282369318	464	3	3.0649048776122184e-06	6.129809755224437e-07
55	809084371919601664	0.0010947013617607906	392	0	2.0432699184081456e-07	0.0
56	802966182	0.0010633731160639046	214	0	2.0432699184081456e-07	0.0
57	1372644200	0.0010411679115295896	275	5	1.430288942885702e-06	1.0216349592040729e-06
58	6135562	0.001020667644113093	2129	1	2.0637026175922272e-05	4.086539836816291e-07
59	161199279	0.0009887371131097028	369	0	1.838942926567331e-06	0.0
60	322242639	0.0009793209957656228	596	0	4.086539836816291e-06	0.0
61	763632739	0.0009736428521764621	1860	33	2.1862988126967157e-05	8.581733657314211e-06
62	154530823	0.0009640925703942723	2422	3	8.377406665473397e-06	6.129809755224437e-07
63	4635054562	0.0009604557200441828	291	11	1.614183235542435e-05	5.108174796020364e-06
64	4260641488	0.0009507771464853203	1554	0	7.968752681791769e-06	0.0
65	349370813	0.0009468430916527374	1758	2	3.350962666189359e-05	4.086539836816291e-07
66	4375034737	0.0009432166095876639	2669	93	2.0432699184081455e-05	2.288462308617123e-05
67	527907644	0.0009271409054250689	1966	5	2.3088950078012045e-05	1.430288942885702e-06
68	91759927	0.0009120845349709181	2505	3	7.560098698110139e-06	6.129809755224437e-07
69	1968422881	0.0009057052349823392	412	2	3.269231869453033e-06	4.086539836816291e-07
70	2590938181	0.0008856798791209087	1478	6	1.2259619510448873e-05	3.8822128449754765e-06
71	67838582	0.000880780236682334	1333	3	4.004809040079965e-05	6.129809755224437e-07
72	2784660132	0.0008641225191454992	2191	1	5.312501787861179e-06	2.0432699184081456e-07
73	1139325710	0.0008554369147578328	1015	2	1.838942926567331e-06	4.086539836816291e-07
74	4489301477	0.0008516796326596383	907	2	3.269231869453033e-06	4.086539836816291e-07
75	441181230	0.0008486997829326463	156	0	3.269231869453033e-06	0.0
76	47562921	0.0008473056080450166	1645	1	3.0649048776122184e-05	2.0432699184081456e-07
77	3053170378	0.0008442060291517343	1231	4	3.269231869453033e-06	8.173079673632582e-07
78	233761764	0.0008359910679518007	300	0	1.430288942885702e-06	0.0
79	432280376	0.0007973988922608257	1614	11	1.4507216420697834e-05	2.6562508939305893e-06
80	320447063	0.0007844449612266206	647	0	1.5120197396220278e-05	0.0
81	434420601	0.0007741946998273624	2050	2	2.0432699184081455e-05	4.086539836816291e-07
82	239917409	0.000762021927079285	226	0	2.0432699184081456e-07	0.0
83	898097870	0.0007483533132113276	1473	42	1.3281254469652947e-05	1.3281254469652947e-05
84	3105120057	0.0007405051779077429	1738	12	1.879808324935494e-05	3.4735588612938474e-06
85	1248461119	0.0007304213676466378	1960	7	7.15144471442851e-06	1.430288942885702e-06
86	902444090759012352	0.0007139654907832969	373	0	1.2259619510448874e-06	0.0
87	201585473	0.0007117383536854776	1926	33	2.6153854955624263e-05	8.990387640995841e-06
88	3061311382	0.0007112715873543183	187	3	2.0841353167763086e-05	6.129809755224437e-07
89	958010459856277504	0.0007016781955120559	192	0	8.173079673632582e-07	0.0
90	208761179	0.0006939389941405082	591	11	1.0829330567563171e-05	2.6562508939305893e-06
91	445608696	0.0006930949509382076	1107	1	4.2908668286571055e-06	2.0432699184081456e-07
92	56430315	0.0006890302052004996	363	0	7.355771706269324e-06	0.0
93	857659750154162176	0.0006882961686472228	2038	1	2.145433414328553e-05	2.0432699184081456e-07
94	434971560	0.0006854192856882341	1064	30	8.581733657314211e-06	7.355771706269324e-06
95	894810596083994624	0.0006822234575866116	172	1	2.0432699184081456e-07	2.0432699184081456e-07
96	10474062	0.0006813077763525196	1453	0	2.0432699184081457e-06	0.0
97	585552971	0.0006711222919839468	1827	0	2.10456801596039e-05	0.0
98	2507308009	0.0006691218446802101	683	6	3.4735588612938474e-06	1.2259619510448874e-06
99	82757763	0.0006468368113264432	123	2	2.0432699184081456e-07	2.860577885771404e-06
100	730473865	0.0006376997219026926	1789	11	1.430288942885702e-05	2.2475969102489602e-06
101	40447766	0.0006340360058140777	399	4	1.0625003575722357e-05	8.173079673632582e-07
102	228473050	0.000629308484107009	719	6	2.2475969102489602e-06	1.430288942885702e-06
103	173904681	0.000615666211713165	2056	29	1.1850965526767245e-05	8.990387640995841e-06
104	855002516	0.000609121771809977	199	1	4.086539836816291e-07	2.0432699184081456e-07
105	438133358	0.000600267947173026	236	0	4.086539836816291e-07	0.0
106	4927200333	0.0005979167011635185	1960	0	1.4098562437016205e-05	0.0
107	1536487982	0.0005927975798165826	1713	36	2.860577885771404e-05	8.581733657314211e-06
108	72525490	0.0005848577038660974	706	0	4.290866828657106e-05	0.0
109	221017842	0.0005815270199948611	144	0	4.086539836816291e-07	0.0
110	327849407	0.0005787680258390724	1976	1	2.6358181947465077e-05	1.2463946502289688e-05
111	547620363	0.0005761082140347546	1373	1	6.538463738906066e-06	2.0432699184081456e-07
112	3353540439	0.0005699891438247546	187	0	6.129809755224437e-07	0.0
113	4504114221	0.0005686335861861926	746	0	2.860577885771404e-05	0.0
114	385648976	0.0005438406395162165	1558	1	5.925482763383623e-06	1.6346159347265164e-06
115	2295093815	0.0005412715931444923	856	4	1.838942926567331e-06	8.173079673632582e-07
116	41130964	0.000530985387007132	164	0	2.6562508939305893e-06	0.0
117	51485640	0.000530496331563257	190	15	6.742790730746881e-06	4.2908668286571055e-06
118	772095308725686272	0.0005241397273860741	1740	57	1.6754813330946794e-05	1.573317837174272e-05
119	3420267610	0.0005117133237283172	895	0	4.086539836816291e-07	0.0
120	222612483	0.0005069368136745849	341	2	4.086539836816291e-07	4.086539836816291e-07
121	854245862	0.0005056303771363361	368	7	3.9435109425277214e-05	1.430288942885702e-06
122	18548294	0.0005051834057243288	545	7	1.389423544517539e-05	1.6346159347265164e-06
123	2797763208	0.000498761803447883	1044	0	1.430288942885702e-05	0.0
124	17964137	0.0004978701821251845	1235	0	1.4098562437016205e-05	0.0
125	343909682	0.0004887842433575385	748	5	1.7980775281991682e-05	2.6562508939305893e-06
126	2215859076	0.0004885503432402483	141	0	2.0432699184081456e-07	0.0
127	877494927432835072	0.0004884203459166908	902	38	2.0637026175922272e-05	2.737981690666915e-05
128	948640050467737600	0.0004871790137931281	1354	37	6.436300242985659e-05	4.1069725360003727e-05
129	2321852454	0.00048550918889052547	1226	8	4.4543284221297577e-05	1.6346159347265164e-06
130	493509051	0.00048403547037878384	642	6	6.129809755224437e-06	1.430288942885702e-06
131	255493944	0.00047801206014217584	386	3	6.334136747065252e-06	3.4735588612938474e-06
132	200036850	0.0004777577573077755	1162	0	9.39904162467747e-05	0.0
133	972113235859165184	0.0004714128810154859	118	2	1.430288942885702e-06	4.086539836816291e-07
134	19213516	0.000468600665959183	981	4	6.334136747065252e-06	1.0216349592040729e-06
135	826412793515671552	0.0004644691957622547	1352	7	1.920673723303657e-05	2.0432699184081457e-06
136	897387168494125056	0.0004638074851971818	106	0	2.0432699184081456e-07	0.0
137	2300857116	0.00046364070386245213	1527	51	5.4146652837815856e-05	1.430288942885702e-05
138	841613657268191232	0.00046005875052145093	1089	0	2.10456801596039e-05	0.0
139	48737698	0.00045525406406816423	93	0	2.0432699184081456e-07	0.0
140	2321666303	0.0004481491961966085	1060	9	6.538463738906066e-06	1.838942926567331e-06
141	941378024959815680	0.00044624721384962067	152	0	4.086539836816291e-07	0.0
142	56610230	0.00044401619370755844	602	2	3.677885853134662e-06	4.086539836816291e-07
143	82894197	0.00044066657669086036	184	0	8.173079673632582e-07	0.0
144	805433637030264832	0.00044051637606192445	158	0	2.0432699184081456e-07	0.0
145	930379038270656512	0.0004395776142558595	228	4	3.677885853134662e-06	1.2259619510448874e-06
146	584522051	0.00043585091893597825	1201	7	1.1033657559403987e-05	2.860577885771404e-06
147	32421706	0.00043137391124040754	543	0	4.760818909890979e-05	0.0
148	228661749	0.00043057144580605774	498	0	2.8401451865873225e-05	0.0
149	128693364	0.0004241098576804214	714	8	3.269231869453033e-06	2.0432699184081457e-06
150	72864162	0.0004155165395796569	221	14	1.1237984551244801e-05	3.4735588612938474e-06
151	366653234	0.0004139328999212414	1352	26	1.7572121298310054e-05	6.947117722587695e-06
152	1376879641	0.00041157982798653987	201	65	2.4927893004579375e-05	1.9615391216718198e-05
153	4894685014	0.00040911861639163634	1403	7	6.538463738906066e-06	2.2475969102489602e-06
154	796041360688168960	0.0004076795955212143	1226	0	5.721155771542808e-06	0.0
155	1615745695	0.0004001156503423667	792	0	8.173079673632582e-07	0.0
156	18161336	0.00039895026230646677	938	0	1.164663853492643e-05	0.0
157	183751634	0.0003958099803567786	112	1	2.0432699184081456e-07	2.0432699184081456e-07
158	383733061	0.0003956747201385469	346	0	4.086539836816291e-07	0.0
159	885529970189234176	0.00039481023962443477	488	56	1.205529251860806e-05	1.6959140322787608e-05
160	834154017659961344	0.00039427666895686033	903	40	1.920673723303657e-05	1.0829330567563171e-05
161	1715286739	0.00038638611604973857	949	1	8.377406665473397e-06	2.0432699184081456e-07
162	2324216701	0.0003829185777914481	106	0	6.129809755224437e-07	0.0
163	17437342	0.00037789423186233894	363	0	1.2463946502289688e-05	0.0
164	3585792555	0.00037593901642700195	1478	0	1.5324524388061092e-05	0.0
165	20536910	0.0003755601043234088	634	0	4.025241739264047e-05	0.0
166	42895605	0.0003731697117377823	1203	13	3.5961550563983364e-05	3.677885853134662e-06
167	47802715	0.00037239038143940513	289	17	2.0024045200399826e-05	3.4735588612938474e-06
168	317147065	0.00037214733538319764	1093	0	4.4951938204979205e-06	0.0
169	619703810	0.0003710747635237652	493	12	1.7980775281991682e-05	2.6358181947465077e-05
170	2392108378	0.0003700601386322641	771	4	4.699520812338735e-06	8.173079673632582e-07
171	809290355300515840	0.0003680611206803194	762	0	1.2259619510448874e-06	0.0
172	381163852	0.00036681572494504973	177	4	1.6346159347265164e-06	8.173079673632582e-07
173	911899179517018112	0.0003662671823659049	1069	2	1.0625003575722357e-05	2.0432699184081457e-06
174	152984812	0.0003628174235338612	192	0	2.2475969102489602e-06	0.0
175	283912543	0.0003589652507021698	559	2	2.4519239020897748e-06	4.086539836816291e-07
176	1061452094	0.00035172878571307895	1019	4	5.5168287797019935e-06	1.0216349592040729e-06
177	4188775660	0.00035159457064857776	646	1	1.2259619510448873e-05	2.0432699184081456e-07
178	915195206	0.0003515547400536558	155	0	3.0649048776122184e-06	0.0
179	2980282599	0.0003508368578194533	1416	0	1.430288942885702e-05	0.0
180	499816741	0.0003467738558796814	156	2	8.786060649155027e-06	4.086539836816291e-07
181	40807205	0.00034655287505503546	624	3	3.1875010727167075e-05	6.947117722587695e-06
182	1449290017	0.0003463468537666194	114	85	3.473558861293847e-05	3.5757223572142546e-05
183	1271025590	0.0003454908368601679	111	1	8.173079673632582e-07	2.0432699184081456e-07
184	219233615	0.00033704276812723187	1042	6	6.538463738906066e-06	1.838942926567331e-06
185	30195239	0.0003365987667968702	65	0	1.0216349592040729e-06	0.0
186	2364050814	0.0003339135823575719	903	9	2.6971162922987523e-05	1.838942926567331e-06
187	423699128	0.00033245117040664153	151	0	2.0432699184081456e-07	0.0
188	1968126350	0.0003297604631905248	582	7	5.5168287797019935e-06	1.430288942885702e-06
189	42617240	0.00032832626007754087	990	0	3.7391839506869066e-05	0.0
190	1607812525	0.00032545917745045765	1244	23	2.7584143898509965e-05	1.0216349592040727e-05
191	846821593435308032	0.0003252705491401651	587	8	2.0432699184081457e-06	2.2475969102489602e-06
192	579226608	0.000323098706187352	380	2	2.0432699184081457e-06	4.086539836816291e-07
193	2466175483	0.0003221945312070609	1317	11	1.1442311543085615e-05	3.4735588612938474e-06
194	2474434723	0.0003186121391039987	575	9	1.6346159347265166e-05	1.838942926567331e-06
195	3373759240	0.00031778227579149583	71	0	2.0432699184081456e-07	0.0
196	244451746	0.00031659772791640196	1250	2	3.289664568637114e-05	1.4711543412538648e-05
197	4168001	0.00031589945665879484	651	6	4.4951938204979205e-06	1.430288942885702e-06
198	2592057295	0.00031429374501863207	514	18	5.312501787861179e-06	4.699520812338735e-06
199	43429477	0.00031337451712454403	689	0	5.945915462567704e-05	0.0
200	356795707	0.00031284269925515234	74	0	2.0432699184081456e-07	0.0
201	573906675	0.0003123470320045221	998	0	1.838942926567331e-06	0.0
202	84840297	0.00031163767300461875	129	0	3.269231869453033e-06	0.0
203	2514828871	0.00030917111526275237	1270	9	1.614183235542435e-05	1.0012022600199913e-05
204	47751366	0.00030701324125643873	1019	3	3.677885853134662e-06	6.129809755224437e-07
205	2561109002	0.0003063459764136815	214	3	2.0432699184081457e-06	6.129809755224437e-07
206	867015766142484480	0.0003055870721768058	976	18	2.594952796378345e-05	8.786060649155027e-06
207	2231599885	0.00030494941083533314	1332	6	8.990387640995841e-06	2.0432699184081457e-06
208	920566473554358272	0.0003037684023075341	892	3	6.129809755224437e-06	8.173079673632582e-07
209	768574336013889536	0.00030294687378665	933	34	0.00011707936632478674	1.3689908453334576e-05
210	110394316	0.00030285367003702837	292	0	1.430288942885702e-06	0.0
211	1860322849	0.0003024564216168799	973	3	3.269231869453033e-06	8.173079673632582e-07
212	2204962638	0.00029924032608311633	1004	0	1.5120197396220278e-05	0.0
213	874091436	0.00029885876846929947	498	0	7.131012015244429e-05	0.0
214	223855190	0.0002983200490976893	640	0	2.2475969102489602e-05	0.0
215	783344088292663296	0.00029727404090597786	709	0	1.1033657559403987e-05	0.0
216	512814104	0.0002932568102869354	965	284	0.00012525244599841933	0.00015365389786429256
217	219653959	0.0002921851063888627	597	1	2.2475969102489602e-06	2.0432699184081456e-07
218	912982754501042176	0.00029202135476241704	364	22	5.5168287797019935e-06	5.5168287797019935e-06
219	919263165782876160	0.00029089901265982697	827	11	1.1033657559403987e-05	2.2475969102489602e-06
220	155534260	0.0002907232254525297	68	0	2.0432699184081456e-07	0.0
221	110710537	0.00028533285127399776	66	1	1.430288942885702e-06	2.0432699184081456e-07
222	827680052	0.00028457197879551633	963	10	2.10456801596039e-05	2.0432699184081457e-06
223	454099919	0.0002772617106526158	241	0	1.430288942885702e-06	0.0
224	1659952662	0.00027495726930474337	850	115	7.233175511164835e-05	5.721155771542808e-05
225	2498780054	0.00027383566972256473	792	65	2.329327706985286e-05	1.7572121298310054e-05
226	98096679	0.00027264767419019656	895	58	3.677885853134662e-05	2.0432699184081455e-05
227	220948054	0.00027194288450340125	1071	11	7.764425689950953e-06	2.4519239020897748e-06
228	1111234566	0.0002714693831746004	700	0	2.860577885771404e-06	0.0
229	888010483822989312	0.0002713450256310774	686	0	2.0432699184081456e-07	0.0
230	1648032108	0.0002698472539581271	754	0	1.614183235542435e-05	0.0
231	2726652103	0.00026980234384857204	944	27	1.3689908453334576e-05	6.742790730746881e-06
232	1900690332	0.0002695298714834509	149	11	3.8822128449754765e-06	2.4519239020897748e-06
233	2350351802	0.00026749310536882895	73	0	2.6562508939305893e-06	0.0
234	831152934813650944	0.00026727349820694445	1125	2	1.2259619510448873e-05	4.086539836816291e-07
235	2559495486	0.0002658457394586124	388	0	4.086539836816291e-07	0.0
236	146882655	0.0002657888668952157	592	10	3.677885853134662e-06	3.677885853134662e-06
237	984340225	0.00026476101726517374	608	0	1.2259619510448873e-05	0.0
238	3031587432	0.0002637530536817885	57	0	6.129809755224437e-07	0.0
239	3793369396	0.0002631167271895102	768	0	6.129809755224437e-07	0.0
240	2591258603	0.00026167809839236625	66	2	1.0216349592040729e-06	6.129809755224437e-07
241	869162685216194560	0.00025962680812848297	1183	44	5.18990559275669e-05	1.3281254469652947e-05
242	2617492669	0.0002592408820195786	786	3	3.677885853134662e-06	6.129809755224437e-07
243	613304376	0.0002571854932680302	236	0	2.0432699184081456e-07	0.0
244	3547884076	0.00025682463172313735	98	0	4.086539836816291e-07	0.0
245	712711472	0.00025660259224438974	71	0	2.0432699184081456e-07	0.0
246	2400073202	0.0002538923518663167	754	0	3.718751251502825e-05	0.0
247	2906628329	0.0002529974323279527	1008	9	1.5324524388061092e-05	2.6562508939305893e-06
248	3121106228	0.00025264386154597897	476	2	4.086539836816291e-07	4.086539836816291e-07
249	1655708533	0.0002468855066268513	60	0	4.086539836816291e-07	0.0
250	1958920140	0.0002466702612098688	855	0	3.677885853134662e-06	0.0
251	772710433824333824	0.00024274313488024534	546	6	4.4951938204979205e-06	1.2259619510448874e-06
252	18800449	0.00024206042448789828	623	1	8.786060649155027e-06	2.0432699184081456e-07
253	23936177	0.00024191862671495262	837	2	8.540868258946049e-05	4.2908668286571055e-06
254	2445370958	0.00024104482588213042	1027	0	3.0649048776122184e-06	0.0
255	339109310	0.0002343958947940352	74	0	1.430288942885702e-06	0.0
256	2878438517	0.00023435614182624724	256	1	1.1442311543085615e-05	6.129809755224437e-07
257	192302058	0.00023235240436956514	1101	4	7.968752681791769e-06	8.173079673632582e-07
258	355581576	0.00023224398738924006	888	0	2.0432699184081457e-06	0.0
259	1634256216	0.00023049580633266865	465	6	1.838942926567331e-06	1.6346159347265164e-06
260	2214624937	0.00022905404769948715	667	0	2.4519239020897748e-06	0.0
261	4816248981	0.0002288608855145609	623	0	4.086539836816291e-06	0.0
262	515339000	0.000228580874879717	1028	6	1.1033657559403987e-05	1.430288942885702e-06
263	2269600939	0.00022486796175120096	532	0	1.9002410241195756e-05	0.0
264	3436478351	0.00021980805978217505	43	0	1.0216349592040729e-06	0.0
265	924604094999908352	0.00021901885846244864	460	8	2.9014432841395667e-05	2.0432699184081457e-06
266	2890492601	0.0002179305980467461	102	0	2.0432699184081456e-07	0.0
267	127697190	0.00021732952439854975	91	0	4.086539836816291e-07	0.0
268	3200003201	0.00021343595099127842	732	28	1.5937505363583537e-05	7.764425689950953e-06
269	994772496	0.0002102060412027687	898	171	9.276445429572981e-05	9.439907023045633e-05
270	147964447	0.0002096796009812057	480	0	4.822117007443224e-05	0.0
271	132811662	0.0002095681779182446	510	3	1.838942926567331e-06	6.129809755224437e-07
272	1334400780	0.00020826359655599382	420	0	3.3918280645575216e-05	0.0
273	117943713	0.00020695838180133125	65	3	2.0432699184081457e-06	6.129809755224437e-07
274	431609013	0.000206076491433632	152	16	5.312501787861179e-06	3.677885853134662e-06
275	472715150	0.00020602727695575204	834	29	2.3088950078012045e-05	7.15144471442851e-06
276	712627370767818752	0.0002044112499070242	49	0	8.173079673632582e-07	0.0
277	2501068088	0.00020409721214929255	306	21	4.2908668286571055e-06	5.5168287797019935e-06
278	115702625	0.0002036764905213777	740	13	4.2908668286571055e-06	3.269231869453033e-06
279	930716565166751744	0.00020042821404047726	61	0	1.0216349592040729e-06	0.0
280	2422746985	0.00019868899498026623	609	18	2.2680296094330416e-05	5.312501787861179e-06
281	71316404	0.00019675059200709478	302	0	1.2463946502289688e-05	0.0
282	786507805888909312	0.00019636104611118438	199	0	2.0432699184081456e-07	0.0
283	312172896	0.0001957756823948458	287	1	3.269231869453033e-06	1.430288942885702e-06
284	20836056	0.00019575206799569847	735	11	1.205529251860806e-05	2.2475969102489602e-06
285	3264318585	0.00019563848487335852	622	0	7.764425689950953e-06	0.0
286	819181154351902720	0.00019398641633386923	536	10	1.164663853492643e-05	3.4735588612938474e-06
287	1904759318	0.00019245032948265507	183	1	4.086539836816291e-07	2.0432699184081456e-07
288	889139929208549376	0.00019202947903869917	41	0	2.0432699184081456e-07	0.0
289	14543218	0.00019101120567190346	44	0	8.173079673632582e-07	0.0
290	1728456590	0.00019010253619306067	94	0	1.6346159347265164e-06	0.0
291	4156061698	0.0001891758200931258	785	14	2.329327706985286e-05	4.086539836816291e-06
292	908032310746009600	0.00018879557764046209	39	0	2.0432699184081456e-07	0.0
293	1459446654	0.00018725636657836498	66	2	4.2908668286571055e-06	4.086539836816291e-07
294	273279047	0.0001869683901620458	333	5	1.6346159347265164e-06	1.2259619510448874e-06
295	2994202636	0.0001869633005221343	47	0	2.0432699184081456e-07	0.0
296	399452428	0.00018690057892295075	785	65	5.006011300099957e-05	1.7776448290150868e-05
297	816939710958469120	0.0001861359314031953	606	13	9.603368616518285e-06	2.860577885771404e-06
298	2184811191	0.00018581603448439843	462	1	8.173079673632582e-07	2.0432699184081456e-07
299	771533538	0.00018550567557779643	669	6	2.4519239020897748e-06	1.430288942885702e-06
300	2918531908	0.00018519711953325407	428	0	3.677885853134662e-06	0.0
301	935510154954596352	0.000184855174820875	786	13	7.560098698110139e-06	3.269231869453033e-06
302	2906182979	0.00018305443456947889	108	0	1.430288942885702e-06	0.0
303	79589584	0.00018177289384060295	201	8	2.6562508939305893e-06	2.0432699184081457e-06
304	2577412818	0.00018105816281802558	67	0	6.129809755224437e-07	0.0
305	454994048	0.00018104779340797597	326	26	1.430288942885702e-05	8.990387640995841e-06
306	2749018640	0.00018082862050802898	614	0	7.355771706269324e-06	0.0
307	1598554111	0.00018071044388441617	694	107	4.1478379343685355e-05	5.47596338133383e-05
308	103877706	0.00018004409594186402	440	18	1.6346159347265166e-05	1.5324524388061092e-05
309	808106178777583616	0.0001798245225309073	72	0	1.0216349592040729e-06	0.0
310	893316758987128832	0.0001797771576038705	34	1	2.0432699184081456e-07	2.0432699184081456e-07
311	539805436	0.0001795840055442227	253	39	4.290866828657106e-05	1.0829330567563171e-05
312	2646938774	0.00017721348212978918	146	0	4.2908668286571055e-06	0.0
313	71029714	0.00017679954612590763	78	0	1.0216349592040729e-06	0.0
314	4872472103	0.00017519005100673896	658	16	1.2668273494130503e-05	1.1850965526767245e-05
315	1567744987	0.00017468984538135127	50	0	2.4519239020897748e-06	0.0
316	110496970	0.00017422881783294805	148	0	7.355771706269324e-06	0.0
317	2181980028	0.0001742256002444983	164	0	6.129809755224437e-07	0.0
318	723831174318186496	0.00017401954914276257	867	13	5.5168287797019935e-06	5.312501787861179e-06
319	818074095040479232	0.00017353655930312756	795	4	1.0420676583881543e-05	8.173079673632582e-07
320	927903504529838080	0.00017302061449507805	93	16	6.129809755224437e-06	3.269231869453033e-06
321	926451092967346176	0.00017257363295779217	207	0	3.7391839506869066e-05	0.0
322	105327432	0.0001721431522491055	52	0	2.0432699184081456e-07	0.0
323	871785413786169344	0.00017031565651221537	81	0	8.173079673632582e-07	0.0
324	452374620	0.00016995495922183786	580	30	7.968752681791769e-06	6.538463738906066e-06
325	385270463	0.00016984631723532717	88	0	8.173079673632582e-07	0.0
326	1052527543	0.00016967040739965895	32	0	2.0432699184081456e-07	0.0
327	3623239702	0.00016863957981275442	91	0	2.0432699184081456e-07	0.0
328	967932741500243968	0.00016824610699639502	31	0	1.0216349592040729e-06	0.0
329	922413115521634304	0.00016802418677092548	348	7	7.15144471442851e-06	3.8822128449754765e-06
330	928977623916711936	0.0001679875152628452	341	0	3.677885853134662e-06	0.0
331	273440591	0.0001657188420232191	52	1	3.269231869453033e-06	6.129809755224437e-07
332	3865379668	0.00016565774721875526	54	0	2.0432699184081456e-07	0.0
333	278499558	0.00016539585014434336	76	0	1.430288942885702e-06	0.0
334	1110976454	0.00016490719521147798	798	30	2.329327706985286e-05	8.786060649155027e-06
335	176515826	0.00016425352186734388	633	0	1.7163467314628422e-05	0.0
336	1021712844	0.00016316382141205531	219	0	1.430288942885702e-06	0.0
337	147873732	0.00016312584936822402	142	2	2.0432699184081456e-07	4.086539836816291e-07
338	29775265	0.00016256614873234987	398	18	1.1442311543085615e-05	4.2908668286571055e-06
339	2391799280	0.00016224184562992934	622	2	4.4951938204979205e-06	4.086539836816291e-07
340	1656253610	0.00016205952143043354	514	1	2.145433414328553e-05	3.677885853134662e-06
