rank_emul	rank_star	rank_real	rank_outdeg	rank_tweet	rank_out_real	rank_in_real
396	334	1214	255	680	2616	155537
397	1505	5505	500	11255	3846	832509
398	140	100	209	105	259	132727
399	273	320	316	173	758	1221912
400	503	111	680	483	74	882548
401	252	630	249	575	1299	176348
402	277	349	270	268	534	918557
403	2838	5963	841	5997	6496	9801
404	387	420	285	971	331	905407
405	320	353	333	297	685	1283661
406	780	900	684	1205	1169	756792
407	238	222	280	183	365	1195848
408	437	2122	518	857	4415	1139765
409	630	1524	1866	3145	1269	916397
410	405	307	459	552	444	728138
411	398	169	508	392	110	97231
412	1076	8602	2097	6726	15359	1338388
413	408	154	537	496	91	655456
414	430	679	355	822	763	1328798
415	413	539	431	401	1212	21127
416	246	412	427	343	764	13497
417	8806	20009	2621	43278	17710	15074
418	339	185	323	410	128	950387
419	211	298	283	163	683	1320720
420	544	157	230	1335	7	602914
421	363	4064	1051	1080	35712	1339744
422	1500	13050	2257	18199	21907	279054
423	1338	5113	1267	4749	6468	1160054
424	499	1001	334	868	1520	1272510
425	623	1081	935	3325	741	1024300
426	333	603	313	280	1026	1302153
427	301	680	236	456	2165	120349
428	469	1508	383	941	6772	73260
429	599	801	1095	1624	688	132112
430	314	242	354	210	339	671694
431	386	545	623	309	1539	62304
432	177	248	263	103	567	689211
433	299	297	317	195	499	918555
434	353	384	358	303	602	918563
435	365	991	365	644	1589	1336792
436	1349	13009	494	4708	47672	457824
437	265	159	241	324	178	241003
438	440	1449	744	1171	1587	1152562
439	491	1259	734	1598	1890	19649
440	472	665	857	2073	1010	1320069
441	438	707	614	642	915	49885
442	3052	4720	2059	4830	10505	76464
443	236	395	227	318	832	1262
444	216	138	349	110	214	1312383
445	977	2484	1564	3358	1881	1123941
446	1120	2559	1424	1914	5885	139013
447	377	514	276	466	635	1317800
448	317	336	340	283	614	273212
449	550	2346	1073	1293	4135	1336097
450	254	163	403	125	295	8128
451	294	426	444	176	983	149660
452	371	381	438	263	623	781178
453	474	918	536	478	1835	1224785
454	1923	1573	1269	5969	503	675527
455	2567	11090	2875	11204	18126	602882
456	2509	9318	1616	7754	18087	1266069
457	304	287	322	235	338	699109
458	338	696	261	421	1148	805344
459	421	786	329	462	1377	327545
460	525	975	631	304	3870	526219
461	190	362	292	307	690	1133076
462	771	3015	290	2085	6064	272
463	754	4312	899	1838	17905	411705
464	568	1239	503	635	3018	1292703
465	1080	348	394	2033	39	613994
466	278	208	318	244	285	926728
467	972	961	727	1387	1432	532569
468	447	354	416	863	235	973250
469	446	288	670	310	699	566910
470	759	470	273	1770	244	138544
471	221	219	396	164	555	107831
472	330	536	234	773	742	137143
473	1226	2624	517	3421	4882	441637
474	407	718	651	500	1372	156524
475	3357	20992	1628	13226	70877	34209
476	813	799	1016	1132	709	455720
477	328	313	516	182	469	336254
478	479	216	470	1188	33	837959
479	562	710	770	481	971	324936
480	232	149	299	136	268	1281432
481	553	2061	583	1148	4140	695116
482	7006	36822	2495	24489	206465	196377
483	418	1457	482	789	3345	954662
484	442	182	792	627	111	859444
485	289	177	386	196	243	450821
486	803	564	884	1623	544	478414
487	968	2147	202	5924	608	1314468
488	223	488	344	135	2838	131779
489	297	105	527	129	188	198562
490	4590	10651	490	20400	35463	870346
491	948	749	1170	1002	841	84560
492	375	643	550	629	2104	244944
493	663	549	722	1186	435	111812
494	637	379	288	1694	126	833331
495	293	443	356	202	974	723394
496	327	227	300	217	376	1180386
497	470	236	485	1094	73	1335617
498	495	787	1249	580	976	726317
499	310	563	266	460	1513	113069
500	734	1830	608	1313	4023	97900
501	227	213	452	79	578	965836
502	614	259	634	588	277	331602
503	547	1221	1653	1480	827	1327526
504	3935	37613	785	26265	292646	441503
505	471	1401	561	2434	1349	168682
506	439	1125	426	717	3135	607180
507	399	205	320	603	215	55436
508	1590	2321	1252	2218	2486	297675
509	344	730	424	335	1033	15530
510	589	3167	217	3867	3231	1054542
511	181	148	260	130	352	60302
512	1086	6818	594	8950	4625	58441
513	770	284	1863	787	283	461023
514	806	3176	437	1948	12447	18497
515	335	1810	265	1039	4258	10237
516	485	1035	449	659	1788	1240028
517	355	435	401	301	750	918605
518	1228	874	824	1676	1011	9275
519	1430	3076	2533	2059	5014	16787
520	522	970	675	1280	1145	727586
521	271	350	303	288	718	316174
522	975	967	588	2431	525	124270
523	602	559	466	724	655	90912
524	248	212	433	120	425	1327540
525	372	302	674	229	821	406200
526	533	2641	635	2223	5181	1386
527	578	1904	327	749	3733	1277955
528	796	742	707	1424	611	209502
529	358	263	392	258	548	31635
530	340	223	381	282	360	128473
531	2898	7025	1217	7727	21240	140863
532	554	427	415	699	634	9374
533	529	923	656	520	2388	1318807
534	744	2328	641	917	6753	1325053
535	321	693	324	315	1670	159122
536	393	376	535	292	512	912688
537	845	462	849	1277	266	59749
538	245	244	399	104	533	13806
539	858	715	1160	1199	652	331516
540	1477	1335	1696	3292	656	46282
541	412	276	544	238	677	3319
542	726	2031	374	1834	2673	489505
543	394	510	471	317	1094	918598
544	305	392	379	172	1616	59205
545	523	1248	465	1018	1737	285548
546	436	504	473	360	1018	1317799
547	480	374	497	374	466	906765
548	1818	8365	766	10849	14727	174593
549	298	254	469	171	530	1981
550	395	676	309	394	1250	1174793
551	269	330	454	158	842	446464
552	369	283	439	232	451	1292767
553	1800	18458	357	29509	16823	1006521
554	364	534	328	442	948	4317
555	508	1290	1107	1763	947	413899
556	283	368	369	127	973	1205599
557	1121	2368	969	1707	3734	319305
558	841	3020	596	1769	10251	2831
559	267	113	413	191	120	15020
560	786	1886	610	850	2968	334159
561	441	941	362	435	2715	201965
562	585	2481	1793	3873	2427	167617
563	2321	7754	2649	18116	5217	323731
564	1007	3301	964	2457	4788	658087
565	2732	3289	2062	4056	5513	125851
566	4913	20060	1631	12223	45326	160742
567	468	598	697	449	1132	6329
568	281	127	204	448	62	49686
569	531	502	958	708	1201	1338307
570	432	492	562	270	2003	1339069
571	628	1740	1084	682	3386	782981
572	451	1114	580	683	2212	1185818
573	352	904	345	543	2351	69625
574	1735	5405	1700	6632	9312	794948
575	5178	38281	2667	23906	293087	795157
576	1400	748	1354	1117	1218	547719
577	466	2123	336	851	6617	269317
578	1521	5052	1351	44496	1062	838654
579	679	1596	1000	1026	2185	1334024
580	381	478	346	296	889	1326939
581	1057	9080	248	7231	17594	15129
582	1692	3751	1025	3910	6636	941271
583	951	2200	1683	1084	5866	692257
584	2916	12024	2644	7949	40213	76291
585	752	804	973	735	1909	1074164
586	1068	2944	1977	3695	2536	224258
587	1799	4565	705	4175	7231	6519
588	322	437	377	413	894	14671
589	2233	10348	1893	8265	32466	53444
590	530	358	1174	567	500	1456
591	723	1528	489	1677	1673	504213
592	541	2493	604	1116	5115	1333203
593	357	604	294	831	846	85908
594	889	965	1114	715	1117	1054906
595	930	234	1712	1395	47	315168
596	462	678	400	530	804	1295796
597	992	1312	1562	1386	2076	1339701
598	701	1948	557	2622	1787	129237
599	534	167	1157	397	155	156136
600	571	1592	511	730	2797	1336188
601	695	1982	483	2925	2307	800192
602	433	1350	307	813	2871	193447
603	509	290	293	931	192	30259
604	808	1044	687	678	1675	87880
605	337	210	414	337	560	244945
606	682	1423	833	886	3366	18745
607	512	1410	710	706	3236	210196
608	1206	784	1591	1890	645	410133
609	564	909	1179	718	1160	22649
610	434	475	653	911	494	680236
611	1255	4256	965	3900	6539	1338987
612	680	1475	481	1638	3824	65126
613	1138	430	671	1548	237	413776
614	526	165	725	986	28	826786
615	737	2252	1726	1725	5757	606669
616	419	494	446	415	660	1305439
617	697	419	1251	498	605	299472
618	457	716	429	362	1123	643564
619	543	314	751	1028	220	1285600
620	336	571	360	605	1111	1196221
621	5548	20063	1828	21604	34917	865396
622	632	1562	1652	1606	1453	851286
623	1279	2602	2801	2361	4011	258619
624	1966	5994	2203	6688	9177	26089
625	816	337	780	849	345	156432
626	1593	12667	428	6740	33592	282184
627	694	2046	1268	1031	3961	1177586
628	356	198	484	193	281	248652
629	800	1121	820	1118	1013	303106
630	417	299	556	233	434	247367
631	661	567	1525	671	604	1339565
632	361	386	348	1301	204	168662
633	524	195	547	551	101	92080
634	519	129	559	760	19	402129
635	528	946	582	405	1747	262211
636	556	712	936	361	2111	403485
637	2188	14463	700	5999	54642	91455
638	617	601	647	510	747	4991
639	868	2190	586	1316	4070	368363
640	376	312	528	188	586	715071
641	1634	1868	1079	3731	1168	1281750
642	537	2296	628	1267	4279	1338264
643	801	2962	384	2290	7623	300
644	2156	1844	1462	2411	1746	286805
645	936	1631	1118	3984	998	1319772
646	427	639	408	465	1155	96419
647	763	1224	1164	1072	1246	28183
648	1021	1974	903	1219	4106	1322662
649	643	1227	920	2012	1481	1280470
650	360	258	691	328	387	15014
651	1072	262	1270	1468	42	1292857
652	1640	3009	2984	3681	3591	1330869
653	514	1252	499	754	2091	1339728
654	946	3592	1770	4683	4583	1171167
655	2090	6134	2154	18049	2834	1339521
656	486	664	353	541	1049	1228533
657	1337	1910	464	7767	392	1139064
658	1135	2761	538	2624	4318	1103
659	458	642	777	514	1074	180991
660	725	293	450	980	193	267195
661	3478	20459	445	32449	38810	50349
662	443	321	337	815	298	10028
663	448	555	311	612	2045	36166
664	490	2983	2530	4313	3158	95658
665	761	398	730	1853	127	1068206
666	388	352	520	274	868	5688
667	862	3594	350	2784	11576	187821
668	2266	3059	1778	4981	2564	751
669	225	625	1087	608	1279	228335
670	368	599	422	395	1027	135710
671	1012	1179	728	1035	1208	782231
672	647	1108	665	650	1643	1235102
673	374	417	425	226	864	1339649
674	700	690	986	628	2179	118917
675	2901	17262	3301	10607	62104	88329
676	341	496	321	350	959	395739
677	303	188	716	177	653	480589
678	672	4410	529	4525	8476	86416
679	1704	9506	402	10976	17328	861539
680	1415	4353	957	2197	12018	809538
681	2761	5108	577	21356	990	1074428
682	1112	4539	1705	3386	8935	250773
683	764	1012	918	533	2224	154413
684	681	231	746	688	223	53427
685	536	1464	1555	2629	1264	84070
686	1074	3145	301	4417	3248	1023255
687	426	589	421	522	927	81156
688	1244	8494	689	5758	24324	689741
689	778	1555	779	1408	1908	67755
690	2698	11722	367	15280	8189	21357
691	856	436	888	1087	261	304025
692	690	2496	368	1438	5187	1034933
693	735	1711	657	723	3416	1184073
694	546	206	794	934	96	303331
695	567	704	825	375	1363	1312279
696	346	594	423	230	2148	845531
697	650	1659	838	961	3140	60878
698	411	220	625	424	195	968008
699	4411	12794	3097	15802	16830	360122
700	766	1517	768	957	3069	1313012
701	2749	12072	2623	45062	22160	972761
702	4092	16729	2068	10111	43570	165104
703	3169	5131	858	10285	3548	300422
704	2021	4730	737	8101	5335	152542
705	779	1618	752	901	2154	553875
706	326	306	347	271	612	250
707	2117	11834	2167	15116	18183	573536
708	488	547	515	409	694	1311244
709	444	408	551	308	527	1080504
710	409	825	404	634	1885	323403
711	1271	2936	461	3090	5088	21870
712	521	1230	761	666	2230	576857
713	2271	3622	699	4926	2828	32176
714	247	363	460	207	666	28888
715	1874	4217	1195	11390	3224	1332569
716	3493	3027	1883	5939	3383	245720
717	461	870	584	599	1370	22813
718	538	2256	735	1206	4308	12050
719	696	651	1488	660	1748	838253
720	325	197	376	356	346	273860
721	704	1233	1428	1275	1109	822774
722	1006	483	486	2263	113	331629
723	745	473	1704	1090	509	323023
724	435	238	575	228	355	733309
725	383	107	749	189	100	614720
726	2309	15188	510	13687	30276	155442
727	573	992	558	647	2040	1187526
728	569	500	981	284	2024	127439
729	720	181	784	1394	23	747023
730	428	882	389	468	2338	39302
731	3822	7878	2890	9582	12576	6330
732	1573	4049	736	4144	9157	770167
733	1156	1320	729	2248	1022	175873
734	733	553	298	1967	309	620995
735	2419	7309	887	17651	12372	599781
736	698	2212	1413	2147	2623	409566
737	998	867	1494	739	785	755630
738	584	522	519	489	730	689325
739	586	530	1148	559	1204	4040
740	6161	20975	3738	14816	130284	966580
741	484	657	495	428	901	1168219
742	487	1076	587	516	2047	1339168
743	392	451	506	241	724	196281
744	400	2056	2539	1932	2590	586544
745	572	440	851	434	834	1272901
746	3956	13301	2149	17066	23270	92756
747	416	152	696	160	257	1312666
748	1327	3153	411	3893	3170	129160
749	2143	860	1464	2347	2650	1322614
750	869	3267	654	1229	17790	69858
751	274	318	571	227	770	636501
752	705	1872	592	1152	3475	119520
753	1052	1302	755	1421	1989	96318
754	1157	768	834	2433	396	290304
755	1469	2356	844	5382	2867	26805
756	214	240	440	157	820	12874
757	455	229	880	140	361	3116
758	914	1391	1876	3808	1803	1337895
759	343	179	566	167	322	134054
760	382	291	534	225	518	1339473
761	3396	4904	578	12376	3322	121147
762	2846	12090	2990	43908	5932	396089
763	1784	1020	1954	1832	11319	1279813
764	594	1580	975	884	4381	125449
765	2438	6129	619	8237	10155	1170955
766	591	544	1190	211	2640	55243
767	3854	15860	616	30848	12753	226002
768	1487	1363	1061	2102	1282	1054843
769	1609	2429	1637	4473	3090	1303719
770	1934	9487	1306	43673	8469	170277
771	822	351	1436	1056	334	211987
772	1344	3783	940	2220	8604	41185
773	699	821	539	1460	437	1176988
774	549	1330	385	794	2310	203
775	1844	3615	2194	4137	3636	1280261
776	626	1181	585	645	2571	1333873
777	1045	30083	750	14298	100414	1339857
778	598	590	1443	408	2222	259576
779	577	645	409	829	1551	111327
780	1211	3778	1859	1612	9775	1339460
781	2100	2174	2583	11767	398	1195550
782	555	459	682	334	1329	200
783	1139	1862	1904	1454	3028	1290110
784	730	915	911	602	1458	1305393
785	319	405	442	194	1552	111016
786	675	2562	1284	6599	1917	1305916
787	560	1404	467	2151	1146	194173
788	604	523	1246	553	860	1119759
789	833	789	1019	624	2092	1331692
790	464	760	601	513	1181	386252
791	1176	572	781	1960	271	68911
792	1001	2265	1069	2545	3583	319303
793	753	586	850	1499	328	613596
794	1459	1685	504	6291	457	442317
795	313	280	602	279	640	95692
796	1014	2870	1243	17748	475	1335597
797	710	701	962	1664	1085	1337218
798	3004	24506	447	17095	91147	209009
799	1697	7788	361	6149	10011	28624
800	1053	990	1801	1258	1516	1074195
801	2566	9367	3031	6103	18651	63073
802	3176	5065	1711	4705	17746	447276
803	1519	1415	672	3758	784	65341
804	1393	969	1112	4321	225	1114056
805	445	442	378	1004	407	742
806	590	856	685	479	1584	1339640
807	475	605	501	378	926	896109
808	422	507	505	316	1220	78868
809	1261	1065	1158	3617	553	954149
810	899	460	1625	721	458	1311002
811	362	757	451	369	2392	1337696
812	595	1537	453	1197	3097	24798
813	258	249	479	139	647	66336
814	636	785	669	585	1484	1291960
815	722	2533	863	875	9381	337960
816	807	285	546	1331	79	143887
817	1065	845	1166	651	1069	446806
818	481	1183	463	885	2220	57935
819	587	1148	476	830	1798	1328450
820	1119	1086	1485	725	1139	1132
821	2031	9032	855	4532	14565	57098
822	1180	541	441	2696	140	800064
823	609	887	942	703	1240	689006
824	2008	14996	513	9356	23489	18638
825	736	209	1192	761	121	316441
826	740	373	839	1008	210	1152013
827	904	2294	649	2112	4878	1294535
828	8242	20034	3244	38109	25597	98157
